dataset,model,training_seed,split_seed,threshold,train_samples,validation_samples,test_samples,train_positive,validation_positive,test_positive,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_youden_j,validation_tn,validation_fp,validation_fn,validation_tp,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_youden_j,test_tn,test_fp,test_fn,test_tp,mlp_iterations,mlp_final_loss
KC2,mlp,43,42,0.5,346,66,110,69,17,21,0.765906362545018,0.5359791464911244,0.7727272727272727,0.6548619447779112,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.3097238895558223,44,5,10,7,0.85366506153023,0.612162641436893,0.8363636363636363,0.6805778491171749,0.6,0.42857142857142855,0.5,0.3611556982343498,83,6,12,9,50.0,0.2684353214491201
KC2,logistic_regression,44,42,0.5,346,66,110,69,17,21,0.7983193277310925,0.5667654456152041,0.803030303030303,0.656062424969988,0.75,0.35294117647058826,0.48,0.312124849939976,47,2,11,6,0.8239700374531835,0.583305877050964,0.8363636363636363,0.6260032102728732,0.6666666666666666,0.2857142857142857,0.4,0.2520064205457464,86,3,15,6,,
KC2,random_forest,44,42,0.5,346,66,110,69,17,21,0.7623049219687874,0.5753798012280599,0.7424242424242424,0.5960384153661464,0.5,0.29411764705882354,0.37037037037037035,0.19207683073229287,44,5,12,5,0.8207597645799892,0.5941026018386641,0.8363636363636363,0.6441947565543071,0.6363636363636364,0.3333333333333333,0.4375,0.28838951310861427,85,4,14,7,,
KC2,mlp,44,42,0.5,346,66,110,69,17,21,0.7755102040816326,0.5315144644657829,0.7727272727272727,0.6548619447779112,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.3097238895558223,44,5,10,7,0.8558052434456929,0.5966209093733312,0.8272727272727273,0.6567683253076511,0.5714285714285714,0.38095238095238093,0.45714285714285713,0.3135366506153021,83,6,13,8,50.0,0.2640101564619204
KC2,logistic_regression,45,42,0.5,346,66,110,69,17,21,0.7983193277310925,0.5667654456152041,0.803030303030303,0.656062424969988,0.75,0.35294117647058826,0.48,0.312124849939976,47,2,11,6,0.8239700374531835,0.583305877050964,0.8363636363636363,0.6260032102728732,0.6666666666666666,0.2857142857142857,0.4,0.2520064205457464,86,3,15,6,,
KC2,random_forest,45,42,0.5,346,66,110,69,17,21,0.7737094837935174,0.608091559273282,0.7575757575757576,0.6254501800720288,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.2509003601440576,44,5,11,6,0.8065810593900481,0.5598414704924646,0.8454545454545455,0.649812734082397,0.7,0.3333333333333333,0.45161290322580644,0.2996254681647941,86,3,14,7,,
KC2,mlp,45,42,0.5,346,66,110,69,17,21,0.765906362545018,0.5382904394693121,0.7272727272727273,0.5666266506602641,0.4444444444444444,0.23529411764705882,0.3076923076923077,0.13325330132052815,44,5,13,4,0.8480470840021404,0.6306375853134445,0.8454545454545455,0.6861958266452648,0.6428571428571429,0.42857142857142855,0.5142857142857142,0.3723916532905296,84,5,12,9,50.0,0.26300506931291645
KC2,logistic_regression,46,42,0.5,346,66,110,69,17,21,0.7983193277310925,0.5667654456152041,0.803030303030303,0.656062424969988,0.75,0.35294117647058826,0.48,0.312124849939976,47,2,11,6,0.8239700374531835,0.583305877050964,0.8363636363636363,0.6260032102728732,0.6666666666666666,0.2857142857142857,0.4,0.2520064205457464,86,3,15,6,,
KC2,random_forest,46,42,0.5,346,66,110,69,17,21,0.7827130852340937,0.6027082525894081,0.7575757575757576,0.6254501800720288,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.2509003601440576,44,5,11,6,0.8223649010165864,0.5679410944248675,0.8545454545454545,0.6736222578919209,0.7272727272727273,0.38095238095238093,0.5,0.34724451578384175,86,3,13,8,,
KC2,mlp,46,42,0.5,346,66,110,69,17,21,0.7827130852340938,0.5348199379631414,0.7272727272727273,0.5666266506602641,0.4444444444444444,0.23529411764705882,0.3076923076923077,0.13325330132052815,44,5,13,4,0.869983948635634,0.6192712140256142,0.8363636363636363,0.6805778491171749,0.6,0.42857142857142855,0.5,0.3611556982343498,83,6,12,9,50.0,0.27314577231553416
PC1,logistic_regression,42,42,0.5,722,171,216,45,14,18,0.5757506824385805,0.26313921334660906,0.9181286549707602,0.5975887170154686,0.5,0.21428571428571427,0.3,0.19517743403093712,154,3,11,3,0.6484287317620652,0.18294205947044906,0.9074074074074074,0.5202020202020202,0.25,0.05555555555555555,0.09090909090909091,0.04040404040404044,195,3,17,1,,
PC1,random_forest,42,42,0.5,722,171,216,45,14,18,0.7290718835304824,0.38009040835959274,0.935672514619883,0.6071428571428571,1.0,0.21428571428571427,0.35294117647058826,0.2142857142857142,157,0,11,3,0.7199775533108868,0.24044242270523844,0.9120370370370371,0.5227272727272727,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.045454545454545414,196,2,17,1,,
